policy,trial,distance_m,approach_success,recovery_reset,pick_success,pick_place_success,end_to_end_success
model_101000.onnx,1,0.2,True,False,True,True,True
model_101000.onnx,2,0.4,True,False,True,True,True
model_101000.onnx,3,0.6,True,False,True,True,True
model_101000.onnx,4,0.8,True,False,True,True,True
model_101000.onnx,5,1.0,True,False,True,True,True
model_101000.onnx,6,1.2,True,False,True,True,True
model_101000.onnx,7,1.4,True,False,True,True,True
model_101000.onnx,8,1.6,True,False,True,True,True
model_101000.onnx,9,1.8,True,False,True,True,True
model_101000.onnx,10,2.0,True,False,True,True,True
model_29000_uniform.onnx,1,0.2,True,False,True,False,False
model_29000_uniform.onnx,2,0.4,True,False,False,False,False
model_29000_uniform.onnx,3,0.6,True,False,False,False,False
model_29000_uniform.onnx,4,0.8,True,False,False,False,False
model_29000_uniform.onnx,5,1.0,True,False,False,False,False
model_29000_uniform.onnx,6,1.2,True,False,False,False,False
model_29000_uniform.onnx,7,1.4,True,False,False,False,False
model_29000_uniform.onnx,8,1.6,True,False,False,False,False
model_29000_uniform.onnx,9,1.8,True,False,True,False,False
model_29000_uniform.onnx,10,2.0,True,False,True,False,False
