policy,trial,approach_distance_m,distance_m,approach_success,recovery_reset,pick_success,place_goal_success,pick_place_success,end_to_end_success
model_96000_bucket.onnx,1,0.5,0.2,True,False,True,True,True,True
model_96000_bucket.onnx,2,0.7,0.4,True,False,False,False,False,False
model_96000_bucket.onnx,3,0.8999999999999999,0.6,True,False,True,True,True,True
model_96000_bucket.onnx,4,1.1,0.8,True,False,True,True,True,True
model_96000_bucket.onnx,5,1.2999999999999998,1.0,True,False,True,True,True,True
model_96000_bucket.onnx,6,1.5,1.2,True,False,False,False,False,False
model_96000_bucket.onnx,7,1.7000000000000002,1.4,True,False,True,True,True,True
model_96000_bucket.onnx,8,1.9,1.6,True,False,True,True,True,True
model_96000_bucket.onnx,9,2.0999999999999996,1.8,True,False,True,True,True,True
model_96000_bucket.onnx,10,2.3,2.0,True,False,True,True,True,True
model_29000_uniform.onnx,1,0.5,0.2,True,False,False,False,False,False
model_29000_uniform.onnx,2,0.7,0.4,True,False,False,False,False,False
model_29000_uniform.onnx,3,0.8999999999999999,0.6,True,False,True,True,False,False
model_29000_uniform.onnx,4,1.1,0.8,True,False,True,True,False,False
model_29000_uniform.onnx,5,1.2999999999999998,1.0,True,False,False,False,False,False
model_29000_uniform.onnx,6,1.5,1.2,True,False,True,True,True,True
model_29000_uniform.onnx,7,1.7000000000000002,1.4,True,False,False,False,False,False
model_29000_uniform.onnx,8,1.9,1.6,True,False,True,True,True,True
model_29000_uniform.onnx,9,2.0999999999999996,1.8,True,False,True,True,False,False
model_29000_uniform.onnx,10,2.3,2.0,True,False,True,True,True,True
